Latin Name,Common Name,Date,Year,Hectad,Monad,Grid reference in Irish Grid,Location,Location Name,Survey Name,Observation Key,Sensitive Species
Trollius europaeus,Globeflower,20/06/2005,2005,G95,G9250,G925503,"Lough Melvin SAC, Co. Leitrim",Lough Melvin (Ross Peninsula),Rare and Threatened Vascular Plant Survey 2005,DSS00428000004XF,
Arabidopsis petraea,Northern Rock-cress,18/07/2005,2005,G74,G7847,G7811247677,"Cloontyprughlish, Co. Leitrim",Cloontyprughlish,Rare and Threatened Vascular Plant Survey 2005,DSS00428000004XN,
Arenaria ciliata,Fringed Sandwort,26/07/2005,2005,G74,G7146,G717462,"Cliffs 2km east of Ben Bulben (Glendarragh), Co. Sligo",Cliffs 2km east of Ben Bulben (Glendarragh),Rare and Threatened Vascular Plant Survey 2005,DSS00428000004XV,
Arenaria ciliata,Fringed Sandwort,26/07/2005,2005,G74,G7245,G727458,"Glencarbury Mine, Ben Bulben Plateau, Co. Sligo",Glencarbury Mine,Rare and Threatened Vascular Plant Survey 2005,DSS00428000004XZ,
Spiranthes romanzoffiana,Irish Lady's-tresses,02/08/2005,2005,G91,G9513,G955135,"Arigna River at Lough Allen, Co. Roscommon","Lough Allen, south-western shores.",Rare and Threatened Vascular Plant Survey 2005,DSS00428000004Y2,
Salix phylicifolia,Tea-leaved Willow,08/08/2005,2005,G85,G8352,G8396252029,"Arroo Mountain, Co. Leitrim","Arroo Mountain, cliffs on northern side",Rare and Threatened Vascular Plant Survey 2005,DSS00428000004Y7,
Hammarbya paludosa,Bog Orchid,16/08/2005,2005,G42,G4423,G4497523762,"Lough Easky, E. of car park, Co. Sligo","Lough Easky, E. of car park",Rare and Threatened Vascular Plant Survey 2005,DSS00428000004YI,
Salix phylicifolia,Tea-leaved Willow,29/08/2005,2005,G64,G6846,G6844546453,"Ben Bulben, Northern cliff tops, Co. Sligo","Ben Bulben, Northern cliff tops",Rare and Threatened Vascular Plant Survey 2005,DSS00428000004YO,
Juncus compressus,Round-fruited Rush,15/09/2005,2005,M95,M9558,M9571158626,"Galey Bay, Lough Ree, Co. Roscommon","Galey Bay, Lough Ree",Rare and Threatened Vascular Plant Survey 2005,DSS00428000004Z1,
Juncus compressus,Round-fruited Rush,15/09/2005,2005,M96,M9560,M9590560296,"Portrunny Bay, Lough Ree, Co. Roscommon","Portrunny Bay, Lough Ree, Co. Roscommon",Rare and Threatened Vascular Plant Survey 2005,DSS00428000004Z2,
Cephalanthera longifolia,Narrow-leaved Helleborine,15/09/2005,2005,N04,,,"Yew Point, Lough Ree, Co. Roscommon","Yew Point, Lough Ree, woodland at",Rare and Threatened Vascular Plant Survey 2005,DSS00428000004Z3,Yes
Alchemilla glaucescens,Silky Lady's mantle,20/09/2005,2005,G83,G8035,G8055435124,"O'Rourke's Table, SW. of, Co. Leitrim","O'Rourke's Table, SW. of, Co. Leitrim",Rare and Threatened Vascular Plant Survey 2005,DSS00428000004Z6,
Cephalanthera longifolia,Narrow-leaved Helleborine,22/09/2005,2005,N05,,,"Portanure, Lough Ree, Co. Longford","Portanure, Lough Ree, Co. Longford",Rare and Threatened Vascular Plant Survey 2005,DSS00428000004Z9,Yes
Cephalanthera longifolia,Narrow-leaved Helleborine,22/09/2005,2005,N04,,,"Hodsons Bay, Lough Ree, Co. Roscommon","Hodsons Bay, Lough Ree, Co. Roscommon",Rare and Threatened Vascular Plant Survey 2005,DSS00428000004ZA,Yes
Arenaria ciliata,Fringed Sandwort,06/10/2005,2005,G74,G7045,G705453,"Gowlaun, cliffs 1.5km SE. of Ben Bulben, Co. Sligo","Gowlaun, cliffs 1.5km SE. of Ben Bulben, Co. Sligo",Rare and Threatened Vascular Plant Survey 2005,DSS00428000004ZB,
Salix phylicifolia,Tea-leaved Willow,06/10/2005,2005,G74,G7045,G7065445718,"Gowlaun, cliffs 1.5km SE. of Ben Bulben, Co. Sligo","Gowlaun, cliffs 1.5km SE. of Ben Bulben, Co. Sligo",Rare and Threatened Vascular Plant Survey 2005,DSS00428000004ZC,
Arenaria ciliata,Fringed Sandwort,06/10/2005,2005,G74,G7044,G703441,"Seafin, Ben Bulben Plateau, Co. Sligo","Seafin, Ben Bulben Plateau, Co. Sligo",Rare and Threatened Vascular Plant Survey 2005,DSS00428000004ZD,
Hypericum hirsutum,Hairy St John's-wort,08/08/1991,1991,O03,O0135,O0135,"St. Catherine's Woods, St. Catherine's Park, Co. Dublin",St. Catherine's Woods,Lamiastrum galeobdolon,DSS00520000000PX,
Matthiola sinuata,Sea Stock,1881,1881,T14,,,"Kilmuckridge, Co. Wexford",Kilmuckridge,Matthiola sinuata,DSS00520000000ZH,Yes
Matthiola sinuata,Sea Stock,1881,1881,T13,,,"Tinnybearna, Co. Wexford",Tinnybearna,Matthiola sinuata,DSS00520000000ZI,Yes
Matthiola sinuata,Sea Stock,1925,1925,T26,,,"Kilmichael Point, Co. Wexford",Kilmichael Point,Matthiola sinuata,DSS00520000000ZJ,Yes
Lotus subbiflorus,Hairy Bird's-foot-trefoil,23/06/1993,1993,W02,W0225,W024250,"Horseshoe Harbour, Sherkin Island, Co. Cork","W. of Horseshoe Harbour, Sherkin Island",Ornithopus perpusillus,DSS005200000015W,
Lotus subbiflorus,Hairy Bird's-foot-trefoil,07/06/1993,1993,V92,V9521,V9521,"Keenleen, South Harbour, Cape Clear Island, Co. Cork","Keenleen, (S. Harbour), Cape Clear Island",Ornithopus perpusillus,DSS005200000016X,
Poa alpina,Alpine Meadow-grass,1885,1885,Q41,,Q41,"Mount Brandon, Co. Kerry","Around the summit tors, Mount Brandon",Poa alpina,DSS005200000019A,
Poa alpina,Alpine Meadow-grass,1885,1885,G74,G7046,G700460,"Ben Bulben, Co. Sligo","N. side, Ben Bulben",Poa alpina,DSS005200000019B,
Poa alpina,Alpine Meadow-grass,1885,1885,G74,G7247,G725470,"Annacoona, Co. Sligo","S. end of the cliffs, Annacoona",Poa alpina,DSS005200000019C,
Poa alpina,Alpine Meadow-grass,1993,1993,Q41,,Q41,"Mount Brandon, Co. Kerry","Around the summit tors, Mount Brandon",Poa alpina,DSS005200000019D,
Poa alpina,Alpine Meadow-grass,1986,1986,G74,G7046,G700460,"Ben Bulben, Co. Sligo","N. side, Ben Bulben",Poa alpina,DSS005200000019E,
